S no,name,latitude,longitude,delivery_review_number,location
277,Peep In Cafe,12.91345661,77.6079059,27,"BTM, Bangalore"
278,Isobel,12.9394914,77.5846184,14,"Jayanagar, Bangalore"
279,The Big Barbeque,12.94835085,77.69893952,"2,120","Marathahalli, Bangalore"
280,Public - The Rooftop Bar And Kitchen,12.89904941,77.60579377,257,"Bannerghatta Road, Bangalore"
281,Sidewalk Bar & Kitchen,12.95122656,77.69943537,"3,254","Marathahalli, Bangalore"
282,Dishkeyaun,12.97249083,77.60685382,0,"Forum Rex Walk, Bangalore"
283,One Night In Bangkok,12.9721965,77.5961312,0,"UB City, Bangalore"
284,Sly Granny,12.97061009,77.64645472,406,"Indiranagar, Bangalore"
285,Chili's American Grill & Bar,13.0113393,77.5542396,988,"Orion Mall, Malleshwaram, Bangalore"
286,The 13th Floor,12.9756262,77.60569286,234,"Barton Centre, Bangalore"
287,Spice Terrace - JW Marriott,12.97240378,77.59497039,0,"JW Marriott Bengaluru, Lavelle Road, Bangalore"
288,Secret Of Bangalore,12.90933048,77.52745181,252,"Rajarajeshwari Nagar, Bangalore"
289,Suku Japanese And Thai Restaurant,12.904083,77.648682,416,"HSR, Bangalore"
290,Bistro Claytopia,12.92575827,77.63350435,585,"Koramangala 1st Block, Bangalore"
291,Madurai Idly Shop,12.99414666,77.70028364,"8,194","ITPL Main Road, Whitefield, Bangalore"
292,Pincode 24 Bar & Bistro,13.0439771,77.60086854,0,"Hebbal, Bangalore"
293,The Spice Studio,12.96632052,77.7140826,560,"Brookefield, Bangalore"
294,Spettacolare,12.9796029,77.6368187,0,"Indiranagar, Bangalore"
295,Salt - Indian Restaurant Bar & Grill,12.93483803,77.61151426,"2,150","Nexus, Koramangala, Bangalore"
296,Tiger Tiger Brewhouse,12.9109041,77.6850338,98,"Sarjapur Road, Bangalore"
297,Foxtrot,12.94970915,77.69927043,484,"Marathahalli, Bangalore"
298,Reboot The Pub,12.950811,77.7000583,12,"Marathahalli, Bangalore"
299,Litti Cafe,12.8998731,77.6953686,51,"Sarjapur Road, Bangalore"
300,Desi Dawat,12.98479809,77.7488638,47,"ITPL Main Road, Whitefield, Bangalore"
301,Bombay Adda,12.93614837,77.61594661,0,"Koramangala 7th Block, Bangalore"
302,Enne,12.99422637,77.57122245,21,"Malleshwaram, Bangalore"
303,Dyu Art Cafe,12.93721395,77.61750296,566,"Koramangala 8th Block, Bangalore"
304,You Me And Tea,12.90906178,77.65169144,997,"HSR, Bangalore"
305,Uncle Peter's Pancakes & Cafe,,,32,"Domlur, Bangalore"
306,Skyye,12.97159058,77.59615391,8,"UB City, Bangalore"
307,Fenny's Lounge And Kitchen,12.93510435,77.61366572,33,"Koramangala 7th Block, Bangalore"
308,Big Pitcher,12.90981284,77.68852081,"1,353","Sarjapur Road, Bangalore"
309,Altitude Kitchen & Bar,12.9886118,77.5375101,0,"Basaveshwara Nagar, Bangalore"
310,Aromas Of Biryani,12.925289,77.585883,"6,012","Jayanagar, Bangalore"
311,La Casa Brewery And Kitchen,12.90420895,77.67579965,"2,053","Sarjapur Road, Bangalore"
312,Barbeque Nation,12.84180017,77.6469117,"2,916","Electronic City, Bangalore"
313,IGNYT -The Beer Station,12.9076004,77.5639731,0,"Kumaraswamy Layout, Bangalore"
